iter	Passed	Remaining
0	59	20742
1	114	19950
2	177	20565
3	234	20325
4	305	21092
5	363	20839
6	419	20542
7	483	20665
8	542	20546
9	609	20735
10	662	20409
11	722	20337
12	783	20304
13	854	20517
14	913	20394
15	971	20289
16	1035	20275
17	1090	20119
18	1153	20101
19	1207	19918
20	1261	19768
21	1325	19758
22	1388	19738
23	1457	19800
24	1518	19738
25	1576	19644
26	1637	19586
27	1690	19440
28	1756	19438
29	1813	19347
30	1871	19257
31	1923	19111
32	1980	19021
33	2045	19015
34	2100	18901
35	2161	18850
36	2218	18767
37	2274	18676
38	2333	18608
39	2389	18521
40	2456	18515
41	2517	18462
42	2569	18345
43	2625	18259
44	2682	18183
45	2741	18115
46	2797	18036
47	2870	18060
48	2954	18152
49	3051	18310
50	3197	18745
51	3444	19737
52	3542	19848
53	3626	19878
54	3714	19925
55	3794	19919
56	3889	19991
57	3986	20068
58	4073	20092
59	4171	20160
60	4280	20279
61	4382	20357
62	4497	20488
63	4621	20653
64	4809	21087
65	4950	21303
66	5078	21451
67	5160	21399
68	5267	21451
69	5401	21605
70	5512	21661
71	5615	21682
72	5705	21648
73	5795	21617
74	5881	21564
75	5972	21530
76	6061	21490
77	6154	21461
78	6256	21461
79	6379	21531
80	6479	21519
81	6583	21517
82	6690	21522
83	6791	21506
84	6909	21541
85	7038	21606
86	7149	21613
87	7259	21614
88	7381	21646
89	7531	21758
90	7698	21911
91	7849	22013
92	7973	22033
93	8084	22017
94	8200	22011
95	8319	22010
96	8409	21934
97	8499	21854
98	8596	21794
99	8680	21700
100	8763	21605
101	8861	21544
102	8947	21455
103	9035	21371
104	9115	21269
105	9208	21196
106	9306	21134
107	9388	21036
108	9479	20959
109	9569	20878
110	9649	20777
111	9739	20695
112	9814	20585
113	9908	20512
114	10001	20438
115	10100	20375
116	10222	20357
117	10340	20330
118	10480	20344
119	10656	20424
120	10803	20446
121	10920	20409
122	10999	20300
123	11093	20219
124	11189	20141
125	11285	20062
126	11413	20041
127	11530	19997
128	11639	19939
129	11762	19906
130	11886	19870
131	12003	19824
132	12130	19792
133	12246	19740
134	12365	19693
135	12483	19642
136	12597	19585
137	12715	19533
138	12808	19442
139	12910	19366
140	13022	19303
141	13149	19261
142	13264	19201
143	13369	19126
144	13773	19472
145	13871	19381
146	13972	19295
147	14085	19224
148	14194	19148
149	14285	19047
150	14363	18929
151	14462	18839
152	14556	18742
153	14637	18629
154	14730	18532
155	14815	18424
156	14911	18331
157	15005	18234
158	15092	18129
159	15176	18022
160	15267	17922
161	15346	17809
162	15443	17717
163	15527	17610
164	15609	17502
165	15704	17407
166	15785	17297
167	15875	17198
168	15979	17114
169	16088	17034
170	16206	16964
171	16334	16904
172	16515	16897
173	16638	16829
174	16769	16769
175	16861	16669
176	16951	16568
177	17030	16456
178	17120	16355
179	17212	16256
180	17304	16157
181	17427	16086
182	17545	16011
183	17648	15922
184	17756	15836
185	17877	15763
186	17987	15678
187	18088	15587
188	18179	15486
189	18300	15410
190	18411	15326
191	18536	15253
192	18622	15149
193	18722	15055
194	18824	14962
195	18970	14905
196	19131	14858
197	19283	14803
198	19419	14735
199	19519	14639
200	19621	14545
201	19732	14457
202	19821	14353
203	19944	14274
204	20057	14187
205	20164	14095
206	20266	14000
207	20365	13903
208	20466	13807
209	20547	13698
210	20634	13593
211	20725	13491
212	20805	13382
213	20903	13284
214	21000	13186
215	21081	13078
216	21172	12976
217	21257	12871
218	21344	12767
219	21442	12670
220	21527	12565
221	21621	12466
222	21719	12369
223	21836	12282
224	21958	12198
225	22080	12114
226	22244	12053
227	22393	11982
228	22524	11901
229	22618	11801
230	22710	11699
231	22793	11593
232	22883	11490
233	22975	11389
234	23063	11286
235	23158	11186
236	23246	11083
237	23330	10979
238	23718	11015
239	23846	10929
240	23983	10847
241	24097	10754
242	24214	10662
243	24332	10570
244	24442	10475
245	24558	10382
246	24680	10291
247	24793	10197
248	24927	10111
249	25052	10021
250	25177	9930
251	25282	9832
252	25401	9738
253	25528	9648
254	25641	9552
255	25740	9451
256	25848	9353
257	25947	9252
258	26035	9147
259	26131	9045
260	26224	8942
261	26323	8841
262	26415	8738
263	26507	8634
264	26590	8529
265	26681	8425
266	26778	8324
267	26869	8221
268	26958	8117
269	27051	8015
270	27145	7913
271	27233	7809
272	27329	7708
273	27420	7605
274	27506	7501
275	27602	7400
276	27718	7304
277	27822	7205
278	27960	7115
279	28181	7045
280	28334	6957
281	28442	6858
282	28530	6754
283	28637	6655
284	28719	6550
285	28811	6447
286	28909	6345
287	28991	6241
288	29083	6138
289	29162	6033
290	29264	5933
291	29360	5831
292	29445	5728
293	29550	5628
294	29662	5530
295	29767	5430
296	29863	5329
297	29961	5228
298	30078	5130
299	30206	5034
300	30311	4934
301	30433	4837
302	30613	4748
303	30761	4654
304	30930	4563
305	31048	4464
306	31171	4366
307	31301	4268
308	31415	4168
309	31531	4068
310	31652	3969
311	31780	3870
312	31880	3768
313	31972	3665
314	32069	3563
315	32158	3460
316	32248	3357
317	32333	3253
318	32426	3151
319	32518	3048
320	32607	2945
321	32699	2843
322	32783	2740
323	32872	2637
324	32952	2534
325	33042	2432
326	33136	2330
327	33224	2228
328	33315	2126
329	33401	2024
330	33512	1923
331	33625	1823
332	33742	1722
333	33903	1624
334	34057	1524
335	34201	1425
336	34310	1323
337	34400	1221
338	34515	1119
339	34633	1018
340	34734	916
341	34839	814
342	34925	712
343	35018	610
344	35113	508
345	35199	406
346	35282	305
347	35371	203
348	35461	101
349	35595	0
