area type,availability,location,size,society,total sqft,bath,balcony,price
super built up  area,19 dec,electronic city phase ii,2 BHK,coomee,1056,2.0,1.0,39.07
plot  area,ready to move,chikka tirupathi,4 Bedroom,theanmp,2600,5.0,3.0,120.0
built up  area,ready to move,uttarahalli,3 BHK,grrvagr,1440,2.0,3.0,62.0
super built up  area,ready to move,lingadheeranahalli,3 BHK,soiewre,1521,3.0,1.0,95.0
super built up  area,ready to move,kothanur,2 BHK,grrvagr,1200,2.0,1.0,51.0
super built up  area,ready to move,whitefield,2 BHK,duenata,1170,2.0,1.0,38.0
super built up  area,18 may,old airport road,4 BHK,jaades,2732,4.0,2.0,204.0
super built up  area,ready to move,rajaji nagar,4 BHK,brway g,3300,4.0,2.0,600.0
super built up  area,ready to move,marathahalli,3 BHK,grrvagr,1310,3.0,1.0,63.25
plot  area,ready to move,gandhi bazar,6 Bedroom,grrvagr,1020,6.0,2.0,370.0
super built up  area,18 feb,whitefield,3 BHK,grrvagr,1800,2.0,2.0,70.0
plot  area,ready to move,whitefield,4 Bedroom,prrry m,2785,5.0,3.0,295.0
super built up  area,ready to move,7th phase jp nagar,2 BHK,shncyes,1000,2.0,1.0,38.0
built up  area,ready to move,gottigere,2 BHK,grrvagr,1100,2.0,2.0,40.0
plot  area,ready to move,sarjapur,3 Bedroom,skityer,2250,3.0,2.0,148.0
super built up  area,ready to move,mysore road,2 BHK,prntaen,1175,2.0,2.0,73.5
super built up  area,ready to move,bisuvanahalli,3 BHK,prityel,1180,3.0,2.0,48.0
super built up  area,ready to move,raja rajeshwari nagar,3 BHK,grrvagr,1540,3.0,3.0,60.0
super built up  area,ready to move,ramakrishnappa layout,3 BHK,pebayle,2770,4.0,2.0,290.0
super built up  area,ready to move,manayata tech park,2 BHK,grrvagr,1100,2.0,2.0,48.0
built up  area,ready to move,kengeri,1 BHK,grrvagr,600,1.0,1.0,15.0
super built up  area,19 dec,binny pete,3 BHK,she 2rk,1755,3.0,1.0,122.0
plot  area,ready to move,thanisandra,4 Bedroom,soitya,2800,5.0,2.0,380.0
super built up  area,ready to move,bellandur,3 BHK,grrvagr,1767,3.0,1.0,103.0
super built up  area,18 nov,thanisandra,1 RK,bhe 2ko,510,1.0,0.0,25.25
super built up  area,18 may,mangammanapalya,3 BHK,grrvagr,1250,3.0,2.0,56.0
super built up  area,ready to move,electronic city,2 BHK,itelaa,660,1.0,1.0,23.1
built up  area,20 dec,whitefield,3 BHK,grrvagr,1610,3.0,2.0,81.0
super built up  area,17 oct,ramagondanahalli,2 BHK,viistla,1151,2.0,2.0,48.77
super built up  area,ready to move,electronic city,3 BHK,kbityo,1025,2.0,1.0,47.0
super built up  area,19 dec,yelahanka,4 BHK,ledorsa,2100 - 2850,4.0,0.0,186.0
super built up  area,ready to move,bisuvanahalli,3 BHK,prityel,1075,2.0,1.0,35.0
super built up  area,ready to move,hebbal,3 BHK,mahosya,1760,2.0,2.0,123.0
super built up  area,ready to move,raja rajeshwari nagar,3 BHK,grrvagr,1693,3.0,3.0,57.39
built up  area,ready to move,kasturi nagar,3 BHK,kantsce,1925,3.0,2.0,125.0
super built up  area,21 dec,kanakpura road,2 BHK,prarepa,700,2.0,1.0,36.0
super built up  area,ready to move,electronics city phase 1,2 BHK,grrvagr,1070,2.0,1.0,45.5
super built up  area,ready to move,kundalahalli,3 BHK,dieldli,1724,3.0,2.0,125.0
super built up  area,ready to move,chikkalasandra,3 BHK,grrvagr,1290,2.0,2.0,56.12
built up  area,ready to move,uttarahalli,2 BHK,grrvagr,1143,2.0,2.0,45.0
built up  area,ready to move,murugeshpalya,2 BHK,gentson,1296,2.0,2.0,81.0
super built up  area,19 dec,sarjapur  road,3 BHK,soini t,1254,3.0,2.0,38.0
super built up  area,ready to move,ganga nagar,1 BHK,ceove g,600,1.0,0.0,38.0
plot  area,ready to move,yelahanka,1 Bedroom,grrvagr,660,1.0,0.0,48.0
super built up  area,19 sep,kanakpura road,2 BHK,soazak,1330.74,2.0,2.0,91.79
plot  area,ready to move,hsr layout,8 Bedroom,grrvagr,600,9.0,2.0,200.0
super built up  area,ready to move,doddathoguru,2 BHK,lancyre,970,2.0,0.0,33.0
super built up  area,20 sep,whitefield,2 BHK,goted u,1459,2.0,1.0,94.82
plot  area,ready to move,kr puram,2 Bedroom,grrvagr,800,1.0,1.0,130.0
built up  area,ready to move,himagiri meadows,2 BHK,grrvagr,869,2.0,1.0,36.0
super built up  area,ready to move,adarsh nagar,2 BHK,bhncyis,1270,2.0,1.0,50.0
super built up  area,18 mar,bhoganhalli,3 BHK,rosha i,1670,3.0,1.0,99.0
built up  area,ready to move,whitefield,3 BHK,suent v,2010,3.0,2.0,91.0
super built up  area,ready to move,lakshminarayana pura,2 BHK,rothava,1185,2.0,2.0,75.0
super built up  area,ready to move,yelahanka,3 BHK,ncowsar,1600,2.0,3.0,75.0
super built up  area,ready to move,begur road,2 BHK,dhalsh,1200,2.0,2.0,44.0
built up  area,20 feb,devanahalli,4 Bedroom,brereat,3010 - 3410,2.0,2.0,192.0
super built up  area,ready to move,ramakrishnappa layout,2 BHK,pebayle,1500,2.0,2.0,185.0
plot  area,ready to move,murugeshpalya,6 Bedroom,grrvagr,1407,4.0,1.0,150.0
super built up  area,ready to move,govindaraja nagar ward,2 BHK,grrvagr,840,2.0,2.0,45.0
plot  area,ready to move,tharabanahalli,3 Bedroom,grrvagr,4395,3.0,2.0,240.0
super built up  area,ready to move,ganga nagar,2 BHK,laavevi,845,2.0,1.0,55.0
plot  area,ready to move,whitefield,4 Bedroom,chranya,5700,5.0,3.0,650.0
built up  area,ready to move,varthur,2 BHK,hioratr,1160,2.0,2.0,44.0
built up  area,ready to move,bommanahalli,8 Bedroom,grrvagr,3000,8.0,0.0,140.0
super built up  area,ready to move,doddathoguru,2 BHK,grrvagr,1100,2.0,1.0,62.0
super built up  area,18 apr,gunjur,2 BHK,bmineis,1140,2.0,3.0,43.0
super built up  area,ready to move,marathahalli,2 BHK,grrvagr,1220,2.0,1.0,57.0
plot  area,ready to move,devarachikkanahalli,8 Bedroom,grrvagr,1350,7.0,0.0,85.0
super built up  area,ready to move,kanakpura road,2 BHK,grrvagr,1005,2.0,1.0,36.68
plot  area,ready to move,double road,3 Bedroom,grrvagr,500,3.0,2.0,100.0
super built up  area,20 aug,begur road,2 BHK,pruthg,1358,2.0,1.0,80.58
super built up  area,ready to move,hegde nagar,3 BHK,sonosty,1569,3.0,1.0,101.0
super built up  area,18 apr,haralur road,2 BHK,snnia e,1240,2.0,1.0,70.0
super built up  area,ready to move,hennur road,3 BHK,anavi b,2089,3.0,2.0,140.0
super built up  area,ready to move,kothannur,2 BHK,grrvagr,1206,2.0,1.0,48.23
super built up  area,ready to move,kalena agrahara,2 BHK,grrvagr,1150,2.0,3.0,40.0
built up  area,ready to move,cholanayakanahalli,3 BHK,viony h,2511,3.0,3.0,205.0
built up  area,ready to move,kaval byrasandra,2 BHK,grrvagr,460,1.0,0.0,22.0
built up  area,ready to move,isro layout,6 Bedroom,grrvagr,4400,6.0,3.0,250.0
super built up  area,ready to move,kodanda reddy layout,3 BHK,adentel,1660,2.0,2.0,105.0
built up  area,18 oct,hennur road,4 Bedroom,gollela,2957 - 3450,2.0,2.0,224.5
super built up  area,19 mar,yelahanka,2 BHK,niareum,1326,2.0,2.0,78.0
super built up  area,ready to move,garudachar palya,3 BHK,grrvagr,1325,2.0,2.0,60.8
super built up  area,ready to move,epip zone,3 BHK,sjlynro,1499,5.0,2.0,102.0
built up  area,ready to move,hegde nagar,6 Bedroom,grrvagr,3000,7.0,2.0,210.0
super built up  area,ready to move,kanakpura road,3 BHK,grrvagr,1665,3.0,2.0,88.0
super built up  area,17 sep,dasanapura,2 BHK,tavenew,708,2.0,2.0,37.0
super built up  area,ready to move,kasavanhalli,2 BHK,srire s,1060,2.0,2.0,58.06
plot  area,ready to move,rajaji nagar,6 Bedroom,grrvagr,710,6.0,3.0,160.0
built up  area,ready to move,sanjay nagar,2 BHK,saenti,1000,2.0,2.0,70.0
super built up  area,18 dec,electronic city,2 BHK,grrvagr,1000,2.0,1.0,28.88
super built up  area,ready to move,mysore highway,3 BHK,grrvagr,1450,2.0,2.0,70.0
plot  area,ready to move,isro layout,4 Bedroom,grrvagr,1200,4.0,2.0,155.0
super built up  area,17 aug,thanisandra,2 BHK,bhmesy,1296,2.0,3.0,80.0
super built up  area,ready to move,domlur,3 BHK,grrvagr,1540,3.0,2.0,90.0
plot  area,ready to move,kengeri,4 Bedroom,goardth,2894,4.0,1.0,245.0
super built up  area,ready to move,sarjapura   attibele road,3 BHK,grrvagr,1330,2.0,1.0,48.0
built up  area,ready to move,devasthanagalu,2 BHK,grrvagr,1200,2.0,1.0,65.0
built up  area,ready to move,t dasarahalli,3 Bedroom,grrvagr,1200,3.0,1.0,90.0
super built up  area,ready to move,yeshwanthpur,3 BHK,ibityin,2502,3.0,3.0,138.0
built up  area,ready to move,chandapura,2 BHK,khityry,650,1.0,1.0,17.0
plot  area,ready to move,kothanur,3 Bedroom,bdensar,2400,2.0,1.0,150.0
super built up  area,ready to move,green view layout,2 BHK,makeser,1007,2.0,2.0,43.0
super built up  area,ready to move,shantiniketan layout,2 BHK,maest n,1200,2.0,2.0,50.0
super built up  area,ready to move,peenya,2 BHK,grrvagr,966,2.0,2.0,49.9
built up  area,ready to move,nagarbhavi,3 BHK,grrvagr,1630,2.0,1.0,98.0
built up  area,ready to move,rajaji nagar,3 BHK,brway g,1640,3.0,2.0,229.0
built up  area,ready to move,jalahalli west,2 BHK,grrvagr,782,2.0,2.0,55.68
super built up  area,19 apr,devanahalli,2 BHK,oznuean,1260,2.0,2.0,66.78
super built up  area,ready to move,lakshmiamma garden,3 BHK,grrvagr,1800,3.0,3.0,120.0
super built up  area,ready to move,byatarayanapura,3 BHK,reeroce,1413,2.0,2.0,75.0
super built up  area,ready to move,whitefield,2 BHK,sonviik,1116,2.0,1.0,51.91
super built up  area,ready to move,electronic city,3 BHK,dsgmax,1530,2.0,1.0,45.9
built up  area,ready to move,ramamurthy nagar,4 Bedroom,grrvagr,3700,4.0,1.0,225.0
built up  area,ready to move,sarjapur  road,3 Bedroom,cetattu,2497,3.0,2.0,140.0
super built up  area,ready to move,kengeri,3 BHK,vaens g,1540,2.0,3.0,64.0
super built up  area,18 dec,thanisandra,3 BHK,grrvagr,1436,3.0,1.0,74.75
super built up  area,18 jun,malleshwaram,2 BHK,grrvagr,1100,2.0,2.0,75.0
plot  area,ready to move,hennur road,2 Bedroom,grrvagr,276,3.0,3.0,23.0
super built up  area,ready to move,thanisandra,3 BHK,moity s,1427,3.0,2.0,120.0
super built up  area,ready to move,akshaya nagar,3 BHK,hiahsla,2061,3.0,1.0,200.0
super built up  area,18 mar,hebbal,4 BHK,snontle,3067 - 8156,4.0,0.0,477.0
built up  area,ready to move,shampura,4 BHK,grrvagr,2650,4.0,2.0,150.0
super built up  area,22 dec,devanahalli,3 BHK,sabixtt,1282,2.0,2.0,68.52
built up  area,ready to move,kadugodi,2 BHK,grrvagr,1050,2.0,1.0,34.0
built up  area,ready to move,lb shastri nagar,3 BHK,sragei,1600,3.0,2.0,65.0
super built up  area,22 jan,vajarahalli,2 BHK,grrvagr,945,2.0,1.0,54.0
super built up  area,ready to move,hormavu,2 BHK,syidacr,1500,2.0,1.0,78.0
plot  area,ready to move,vishwapriya layout,7 Bedroom,grrvagr,950,7.0,0.0,115.0
